qoFYHTMAAAAJ	0pp-L_IAAAAJ	1
Cgx9W6UAAAAJ	SHb2ZlMAAAAJ	3
nk3OcBoAAAAJ	2Zeqd3QAAAAJ	5
LTL9MjwAAAAJ	2E448xEAAAAJ	7
UnDfo6sAAAAJ	-cuxoSQAAAAJ	1
qC7oNRUAAAAJ	rnBRPpQAAAAJ	7
cuEHP_IAAAAJ	wSPgTVwAAAAJ	2
WL8igVEAAAAJ	mL6QKeQAAAAJ	7
4VJre9IAAAAJ	FtbGhBQAAAAJ	1
rnR3JrYAAAAJ	Cgx9W6UAAAAJ	1
cA28Zs0AAAAJ	kI5JKs8AAAAJ	2
E1jnOcUAAAAJ	rnBRPpQAAAAJ	6
SqMUez0AAAAJ	07ds-DAAAAAJ	1
-N-_kgsAAAAJ	n6wC7nwAAAAJ	1
MYqlcPgAAAAJ	9s9o-JcAAAAJ	1
4VJre9IAAAAJ	qPlUgrgAAAAJ	1
NHZdlVkAAAAJ	KgZxzjsAAAAJ	1
runT3RsAAAAJ	QRyCQq4AAAAJ	5
jFK9W3UAAAAJ	toODfV4AAAAJ	2
HleefHQAAAAJ	tCq7Wx0AAAAJ	3
FtbGhBQAAAAJ	GUAoEcAAAAAJ	1
mtB5szIAAAAJ	DSiNzkIAAAAJ	2
uwzBnJwAAAAJ	G7D5O-0AAAAJ	7
9s9o-JcAAAAJ	n-Oret4AAAAJ	1
runT3RsAAAAJ	MrVb9FkAAAAJ	32
54w2_AcAAAAJ	tFjo6FwAAAAJ	4
yQXfAWMAAAAJ	kJ_03NMAAAAJ	1
_TxappgAAAAJ	YbSq5T0AAAAJ	2
CWj6pVcAAAAJ	yiiVQ1MAAAAJ	12
qoFYHTMAAAAJ	04aoCmQAAAAJ	2
KQm_HnIAAAAJ	33CH6WUAAAAJ	5
xjVBcr4AAAAJ	KQm_HnIAAAAJ	4
cA28Zs0AAAAJ	GUAoEcAAAAAJ	1
iBgmo3sAAAAJ	ZhcSLWsAAAAJ	1
SHVhdhoAAAAJ	bnmsbZkAAAAJ	1
YLOz1kgAAAAJ	bh-uRFMAAAAJ	19
5HX--AYAAAAJ	ZflJqeUAAAAJ	1
PfgeYGwAAAAJ	SnvLcLEAAAAJ	15
vuKTnnsAAAAJ	q_n7d6EAAAAJ	3
Da-s1FQAAAAJ	07ds-DAAAAAJ	2
54w2_AcAAAAJ	13gSrSQAAAAJ	1
LTL9MjwAAAAJ	yxUduqMAAAAJ	1
toODfV4AAAAJ	DSiNzkIAAAAJ	1
qC7oNRUAAAAJ	M6urChQAAAAJ	1
PfgeYGwAAAAJ	YOVZiJkAAAAJ	6
qC7oNRUAAAAJ	KQm_HnIAAAAJ	3
ZmiirIwAAAAJ	0HhpXIwAAAAJ	1
cA28Zs0AAAAJ	KQm_HnIAAAAJ	3
6_oL_9IAAAAJ	bWTPrLEAAAAJ	3
cA28Zs0AAAAJ	M6urChQAAAAJ	2
9s9o-JcAAAAJ	hmq4rGIAAAAJ	1
CWj6pVcAAAAJ	8a2Z1loAAAAJ	8
VjETp_wAAAAJ	ggKzpqIAAAAJ	1
xITAf6EAAAAJ	qk0hejcAAAAJ	7
oz_MXbIAAAAJ	0-tewh8AAAAJ	13
MO3BwFMAAAAJ	amDW89cAAAAJ	4
2nmHOtoAAAAJ	rynvwScAAAAJ	1
QgGaAdsAAAAJ	JsK4KpMAAAAJ	10
SqMUez0AAAAJ	hmq4rGIAAAAJ	2
PIIoaKMAAAAJ	-WVPmUkAAAAJ	1
aLOSzWwAAAAJ	fzSHXS8AAAAJ	1
NByrsK0AAAAJ	rYsw7D4AAAAJ	2
VdzVqCwAAAAJ	GHsoyKIAAAAJ	1
vuKTnnsAAAAJ	im5aMngAAAAJ	1
tiHMmkcAAAAJ	YJVAXCwAAAAJ	1
vuKTnnsAAAAJ	YOVZiJkAAAAJ	4
pjK2mQwAAAAJ	toODfV4AAAAJ	1
hgZgvkUAAAAJ	QgGaAdsAAAAJ	28
cA28Zs0AAAAJ	qC7oNRUAAAAJ	2
yiiVQ1MAAAAJ	8a2Z1loAAAAJ	1
2OJOZTUAAAAJ	tpoh43QAAAAJ	1
2X6fAZgAAAAJ	d6CtlCkAAAAJ	17
BkygZFsAAAAJ	ZOh4TtIAAAAJ	1
owqUYWMAAAAJ	bsotxTgAAAAJ	2
7jKj_NcAAAAJ	vEbcIKYAAAAJ	31
OcAOpSUAAAAJ	-CVR2h8AAAAJ	8
LDb4tb0AAAAJ	JsK4KpMAAAAJ	2
3-nQ3eoAAAAJ	Cgx9W6UAAAAJ	1
lf9ZK78AAAAJ	WZ0030cAAAAJ	1
qC7oNRUAAAAJ	jTzDAsIAAAAJ	13
rnBRPpQAAAAJ	33CH6WUAAAAJ	16
qC7oNRUAAAAJ	n-Oret4AAAAJ	1
sOI8QyoAAAAJ	QY-earAAAAAJ	2
8iQk0DIAAAAJ	q_n7d6EAAAAJ	2
BLDtWVEAAAAJ	HUxQ1TAAAAAJ	6
L9dwKyUAAAAJ	gyL3CZ0AAAAJ	4
_HYCqwkAAAAJ	HUxQ1TAAAAAJ	1
6k7bp8IAAAAJ	5c38WVcAAAAJ	1
toODfV4AAAAJ	Ui8pnoIAAAAJ	1
UruIct4AAAAJ	dHXCX-sAAAAJ	1
p_QR9RUAAAAJ	10iNskYAAAAJ	1
Qf4bw4UAAAAJ	07ds-DAAAAAJ	3
jTzDAsIAAAAJ	6qfyAZQAAAAJ	9
MO3BwFMAAAAJ	_5tjpG0AAAAJ	1
85EVVHQAAAAJ	HUxQ1TAAAAAJ	1
3XYmsKQAAAAJ	T_r8IWQAAAAJ	1
8a2Z1loAAAAJ	j9EXF1AAAAAJ	1
XgifkSsAAAAJ	-0LFOnYAAAAJ	2
LTL9MjwAAAAJ	zZO9qG4AAAAJ	8
