yepPD_cAAAAJ	z8NwFvcAAAAJ	1
10iNskYAAAAJ	WZ0030cAAAAJ	1
LTL9MjwAAAAJ	2E448xEAAAAJ	2
XLU7AuYAAAAJ	AsMU1QsAAAAJ	1
DLVFrFAAAAAJ	E1knViwAAAAJ	2
tLrQhzIAAAAJ	HUxQ1TAAAAAJ	1
qC7oNRUAAAAJ	xITAf6EAAAAJ	10
lnC1vbAAAAAJ	XeYCNAwAAAAJ	1
WL8igVEAAAAJ	mL6QKeQAAAAJ	1
yxUduqMAAAAJ	8Qu_gAMAAAAJ	1
3bSbb20AAAAJ	BAdQpFkAAAAJ	1
rnR3JrYAAAAJ	Cgx9W6UAAAAJ	1
CWj6pVcAAAAJ	SXutMMAAAAAJ	1
e49cxvUAAAAJ	ln3BGqgAAAAJ	2
HRSDO6IAAAAJ	bWTPrLEAAAAJ	1
3HjjRz8AAAAJ	UcbMN8QAAAAJ	1
tyYtUNIAAAAJ	l9QQeHgAAAAJ	2
ZqTie5sAAAAJ	IksW07MAAAAJ	5
ptI-HHkAAAAJ	PEEpuNwAAAAJ	6
Q29WmWwAAAAJ	MjoZWO8AAAAJ	2
dMVI-XIAAAAJ	forPRN8AAAAJ	1
NByrsK0AAAAJ	KQmFXsoAAAAJ	21
WZ-h67UAAAAJ	2VMMsmsAAAAJ	4
upREfesAAAAJ	rRBwhFwAAAAJ	28
E1jnOcUAAAAJ	ZRrTqs8AAAAJ	4
bh-uRFMAAAAJ	1c5IZ0QAAAAJ	4
tfQuPyEAAAAJ	XfYRqF4AAAAJ	1
SDY9FwUAAAAJ	x8UnxSoAAAAJ	2
KQmFXsoAAAAJ	DhckaXkAAAAJ	1
HleefHQAAAAJ	tCq7Wx0AAAAJ	1
cA28Zs0AAAAJ	rnBRPpQAAAAJ	1
aTpJ0fcAAAAJ	wSPgTVwAAAAJ	2
WKzKz9gAAAAJ	iNANm-sAAAAJ	5
1o_wrqsAAAAJ	Ay_j7dUAAAAJ	2
4agt6FcAAAAJ	VdzVqCwAAAAJ	1
gIqECGgAAAAJ	XeYCNAwAAAAJ	5
UcpEexUAAAAJ	2A6PMfEAAAAJ	9
cGCalUQAAAAJ	xPoCswkAAAAJ	1
hiGGy0kAAAAJ	MMuP6cMAAAAJ	2
_TxappgAAAAJ	YbSq5T0AAAAJ	30
qoFYHTMAAAAJ	04aoCmQAAAAJ	23
xjVBcr4AAAAJ	KQm_HnIAAAAJ	22
rQ8F7rIAAAAJ	M5_wxAkAAAAJ	29
WxJIpkcAAAAJ	WwadVmIAAAAJ	8
HRSDO6IAAAAJ	SnvLcLEAAAAJ	1
NByrsK0AAAAJ	fAw_t5EAAAAJ	6
7QbSKnMAAAAJ	rRBwhFwAAAAJ	2
0RPdShUAAAAJ	H4TdGyYAAAAJ	1
ggKzpqIAAAAJ	--RZd-sAAAAJ	1
toODfV4AAAAJ	ZwBxbEUAAAAJ	5
lnC1vbAAAAAJ	53HX4X8AAAAJ	3
JepH3ckAAAAJ	0zZnyMEAAAAJ	2
ggKzpqIAAAAJ	YhFEmpMAAAAJ	9
VIwGymEAAAAJ	Lym3wGUAAAAJ	14
oRlrVsAAAAAJ	g4DdvyEAAAAJ	19
_wGOGjsAAAAJ	iBgmo3sAAAAJ	3
g9yhtN8AAAAJ	SDY9FwUAAAAJ	3
vME86a4AAAAJ	qrHidmsAAAAJ	3
oN85b_gAAAAJ	tyYtUNIAAAAJ	1
3ekS0ucAAAAJ	Js_zdpYAAAAJ	1
IR0yJB8AAAAJ	3-y3qmkAAAAJ	4
FDu4ciwAAAAJ	x_7xA0UAAAAJ	2
1o_wrqsAAAAJ	BECu7wYAAAAJ	1
VVpfyhsAAAAJ	hmq4rGIAAAAJ	1
8Kk2MugAAAAJ	VspDmN8AAAAJ	7
WZ-h67UAAAAJ	8rw_o7UAAAAJ	3
0zZnyMEAAAAJ	H7vcwSAAAAAJ	1
xITAf6EAAAAJ	qk0hejcAAAAJ	28
VjETp_wAAAAJ	VVYP3bgAAAAJ	1
bsotxTgAAAAJ	_QU1opsAAAAJ	1
MO3BwFMAAAAJ	amDW89cAAAAJ	32
oz_MXbIAAAAJ	0-tewh8AAAAJ	44
vHN9guYAAAAJ	j9EXF1AAAAAJ	5
QgGaAdsAAAAJ	JsK4KpMAAAAJ	10
LWAFHkEAAAAJ	HGTDp1UAAAAJ	18
PIIoaKMAAAAJ	-WVPmUkAAAAJ	2
aLOSzWwAAAAJ	fzSHXS8AAAAJ	1
cA28Zs0AAAAJ	Kv9AbjMAAAAJ	15
NByrsK0AAAAJ	rYsw7D4AAAAJ	18
VdzVqCwAAAAJ	GHsoyKIAAAAJ	15
5ZpsRswAAAAJ	-iqhJgQAAAAJ	1
mtB5szIAAAAJ	2nmHOtoAAAAJ	1
v5q00U8AAAAJ	YbSq5T0AAAAJ	10
T1lNNLkAAAAJ	iTNcAakAAAAJ	23
mZxsTCcAAAAJ	DSiNzkIAAAAJ	1
bsotxTgAAAAJ	YJVAXCwAAAAJ	1
tiHMmkcAAAAJ	YJVAXCwAAAAJ	2
hgZgvkUAAAAJ	QgGaAdsAAAAJ	35
iBbfPfUAAAAJ	YJVAXCwAAAAJ	16
Z03FLwkAAAAJ	XeYCNAwAAAAJ	1
v4s6ll8AAAAJ	QgGaAdsAAAAJ	6
L05BN0sAAAAJ	j9EXF1AAAAAJ	2
2X6fAZgAAAAJ	d6CtlCkAAAAJ	1
G8GezxgAAAAJ	4PzSxEMAAAAJ	10
SSNUvb8AAAAJ	JwQWFLkAAAAJ	2
owqUYWMAAAAJ	bsotxTgAAAAJ	8
fAxws1sAAAAJ	LDb4tb0AAAAJ	2
SjjIQ24AAAAJ	DWKoeW0AAAAJ	1
g_JVzmIAAAAJ	mFPXD90AAAAJ	1
oVygx30AAAAJ	0jtFgaAAAAAJ	20
lf9ZK78AAAAJ	WZ0030cAAAAJ	23
1qqf7D0AAAAJ	9ADkQMAAAAAJ	2
CWj6pVcAAAAJ	BDZ2z6YAAAAJ	2
qC7oNRUAAAAJ	jTzDAsIAAAAJ	3
rnBRPpQAAAAJ	33CH6WUAAAAJ	5
SjjIQ24AAAAJ	DZ3S--MAAAAJ	17
6qDjHUAAAAAJ	Viv2E9AAAAAJ	2
L9dwKyUAAAAJ	gyL3CZ0AAAAJ	1
_HYCqwkAAAAJ	HUxQ1TAAAAAJ	3
Nq_T4UwAAAAJ	wSPgTVwAAAAJ	1
WrnEVwQAAAAJ	HleefHQAAAAJ	1
Pi012CQAAAAJ	G7D5O-0AAAAJ	4
jDKM_4AAAAAJ	1qqf7D0AAAAJ	1
yvvjnhIAAAAJ	tCq7Wx0AAAAJ	2
HleefHQAAAAJ	FreXC9IAAAAJ	2
UYZGdYwAAAAJ	2X6fAZgAAAAJ	1
7QbSKnMAAAAJ	P5eWdgsAAAAJ	3
w4_W1PkAAAAJ	ggKzpqIAAAAJ	10
Qf4bw4UAAAAJ	07ds-DAAAAAJ	2
Cgx9W6UAAAAJ	07ds-DAAAAAJ	1
yxUduqMAAAAJ	GUAoEcAAAAAJ	1
jTzDAsIAAAAJ	6qfyAZQAAAAJ	6
jTzDAsIAAAAJ	_4i-G3YAAAAJ	1
amDW89cAAAAJ	UcbMN8QAAAAJ	1
l9UHHYgAAAAJ	0-tewh8AAAAJ	14
UnDfo6sAAAAJ	jtOKGpIAAAAJ	1
p0tQZiAAAAAJ	YhFEmpMAAAAJ	7
wY-Wy6IAAAAJ	G8GezxgAAAAJ	1
Qf4bw4UAAAAJ	JSFmVQEAAAAJ	1
gyL3CZ0AAAAJ	JsK4KpMAAAAJ	2
n-Oret4AAAAJ	hc1m_BQAAAAJ	1
8rw_o7UAAAAJ	dewEBisAAAAJ	3
p_QR9RUAAAAJ	nfeNsaoAAAAJ	19
3-y3qmkAAAAJ	WZ0030cAAAAJ	10
2VMMsmsAAAAJ	8rw_o7UAAAAJ	2
zZO9qG4AAAAJ	db9WLdcAAAAJ	7
PafZ2Z4AAAAJ	SBVuIBwAAAAJ	1
bh-uRFMAAAAJ	yxUduqMAAAAJ	1
0zZnyMEAAAAJ	KgZxzjsAAAAJ	1
ojH7GEgAAAAJ	cA28Zs0AAAAJ	1
upREfesAAAAJ	P5eWdgsAAAAJ	15
-cuxoSQAAAAJ	forPRN8AAAAJ	5
pWQGJWEAAAAJ	YhFEmpMAAAAJ	5
5V852JcAAAAJ	GUAoEcAAAAAJ	1
PfgeYGwAAAAJ	-DVbMb4AAAAJ	1
JJ31S6UAAAAJ	uVBjUtAAAAAJ	1
bOKmjf8AAAAJ	3DtMaPEAAAAJ	1
vHsgntwAAAAJ	0-tewh8AAAAJ	41
CWj6pVcAAAAJ	HUxQ1TAAAAAJ	17
JJ31S6UAAAAJ	toODfV4AAAAJ	13
0zZnyMEAAAAJ	nM77MX0AAAAJ	4
Qp5971IAAAAJ	HRSDO6IAAAAJ	2
_QU1opsAAAAJ	TZRFXM8AAAAJ	2
fzSHXS8AAAAJ	nKVDcQoAAAAJ	1
cuEHP_IAAAAJ	0YxIvbEAAAAJ	2
6nuM6rcAAAAJ	IksW07MAAAAJ	6
HM7WbsgAAAAJ	HGTDp1UAAAAJ	7
G7D5O-0AAAAJ	XzBeCwIAAAAJ	4
NByrsK0AAAAJ	CYwffSUAAAAJ	9
CUkAtC4AAAAJ	w_lm_toAAAAJ	3
aLOSzWwAAAAJ	DZ3S--MAAAAJ	1
WZ-h67UAAAAJ	M3he9Y8AAAAJ	1
KgZxzjsAAAAJ	yxUduqMAAAAJ	1
upREfesAAAAJ	MC6suuAAAAAJ	6
0v5utcwAAAAJ	oizZKrsAAAAJ	6
NByrsK0AAAAJ	tCq7Wx0AAAAJ	20
Q29WmWwAAAAJ	C2lVQO8AAAAJ	1
cA28Zs0AAAAJ	2pW1g5IAAAAJ	1
M3he9Y8AAAAJ	tLrQhzIAAAAJ	1
Q5KT-hEAAAAJ	Dl0vAp8AAAAJ	6
8Kk2MugAAAAJ	upREfesAAAAJ	19
yepPD_cAAAAJ	VDhnOHEAAAAJ	3
HM7WbsgAAAAJ	G8GezxgAAAAJ	10
F2jhvIoAAAAJ	Ay_j7dUAAAAJ	13
cilyP7wAAAAJ	6yoY1d8AAAAJ	5
MYqlcPgAAAAJ	FEj19lcAAAAJ	1
0v5utcwAAAAJ	9xDADY4AAAAJ	1
GlBl-VUAAAAJ	5HX--AYAAAAJ	1
ggKzpqIAAAAJ	XLU7AuYAAAAJ	1
XgifkSsAAAAJ	ptI-HHkAAAAJ	3
8VfMkGsAAAAJ	F2jhvIoAAAAJ	5
Q29WmWwAAAAJ	0RPdShUAAAAJ	5
g_JVzmIAAAAJ	SyQ-T8cAAAAJ	4
HgaNy9kAAAAJ	OQ4t3U4AAAAJ	1
LiLwnssAAAAJ	j9EXF1AAAAAJ	14
WKzKz9gAAAAJ	Viv2E9AAAAAJ	1
