yepPD_cAAAAJ	z8NwFvcAAAAJ	1
qoFYHTMAAAAJ	0pp-L_IAAAAJ	1
LTL9MjwAAAAJ	2E448xEAAAAJ	9
XLU7AuYAAAAJ	AsMU1QsAAAAJ	1
tLrQhzIAAAAJ	HUxQ1TAAAAAJ	1
qC7oNRUAAAAJ	xITAf6EAAAAJ	10
lnC1vbAAAAAJ	XeYCNAwAAAAJ	1
3bSbb20AAAAJ	BAdQpFkAAAAJ	1
rnR3JrYAAAAJ	Cgx9W6UAAAAJ	2
HRSDO6IAAAAJ	bWTPrLEAAAAJ	1
cA28Zs0AAAAJ	kI5JKs8AAAAJ	2
ZqTie5sAAAAJ	IksW07MAAAAJ	5
ptI-HHkAAAAJ	PEEpuNwAAAAJ	6
NByrsK0AAAAJ	KQmFXsoAAAAJ	21
WZ-h67UAAAAJ	2VMMsmsAAAAJ	4
bh-uRFMAAAAJ	1c5IZ0QAAAAJ	4
SDY9FwUAAAAJ	x8UnxSoAAAAJ	2
runT3RsAAAAJ	QRyCQq4AAAAJ	5
jFK9W3UAAAAJ	toODfV4AAAAJ	2
HleefHQAAAAJ	tCq7Wx0AAAAJ	4
FtbGhBQAAAAJ	GUAoEcAAAAAJ	1
cA28Zs0AAAAJ	rnBRPpQAAAAJ	1
uwzBnJwAAAAJ	G7D5O-0AAAAJ	7
1o_wrqsAAAAJ	Ay_j7dUAAAAJ	2
_TxappgAAAAJ	YbSq5T0AAAAJ	32
WxJIpkcAAAAJ	WwadVmIAAAAJ	8
HRSDO6IAAAAJ	SnvLcLEAAAAJ	1
NByrsK0AAAAJ	fAw_t5EAAAAJ	6
7QbSKnMAAAAJ	rRBwhFwAAAAJ	2
toODfV4AAAAJ	ZwBxbEUAAAAJ	5
lnC1vbAAAAAJ	53HX4X8AAAAJ	3
oN85b_gAAAAJ	tyYtUNIAAAAJ	1
3ekS0ucAAAAJ	Js_zdpYAAAAJ	1
IR0yJB8AAAAJ	3-y3qmkAAAAJ	4
FDu4ciwAAAAJ	x_7xA0UAAAAJ	2
cA28Zs0AAAAJ	KQm_HnIAAAAJ	3
cA28Zs0AAAAJ	M6urChQAAAAJ	2
1o_wrqsAAAAJ	BECu7wYAAAAJ	1
VVpfyhsAAAAJ	hmq4rGIAAAAJ	1
xITAf6EAAAAJ	qk0hejcAAAAJ	35
MO3BwFMAAAAJ	amDW89cAAAAJ	36
2nmHOtoAAAAJ	rynvwScAAAAJ	1
LWAFHkEAAAAJ	HGTDp1UAAAAJ	18
VdzVqCwAAAAJ	GHsoyKIAAAAJ	16
mtB5szIAAAAJ	2nmHOtoAAAAJ	1
5ZpsRswAAAAJ	-iqhJgQAAAAJ	1
T1lNNLkAAAAJ	iTNcAakAAAAJ	23
vuKTnnsAAAAJ	im5aMngAAAAJ	1
mZxsTCcAAAAJ	DSiNzkIAAAAJ	1
tiHMmkcAAAAJ	YJVAXCwAAAAJ	3
hgZgvkUAAAAJ	QgGaAdsAAAAJ	63
Z03FLwkAAAAJ	XeYCNAwAAAAJ	1
L05BN0sAAAAJ	j9EXF1AAAAAJ	2
2X6fAZgAAAAJ	d6CtlCkAAAAJ	18
G8GezxgAAAAJ	4PzSxEMAAAAJ	10
SSNUvb8AAAAJ	JwQWFLkAAAAJ	2
fAxws1sAAAAJ	LDb4tb0AAAAJ	2
g_JVzmIAAAAJ	mFPXD90AAAAJ	1
lf9ZK78AAAAJ	WZ0030cAAAAJ	24
CWj6pVcAAAAJ	BDZ2z6YAAAAJ	2
rnBRPpQAAAAJ	33CH6WUAAAAJ	21
qC7oNRUAAAAJ	n-Oret4AAAAJ	1
6qDjHUAAAAAJ	Viv2E9AAAAAJ	2
L9dwKyUAAAAJ	gyL3CZ0AAAAJ	5
WrnEVwQAAAAJ	HleefHQAAAAJ	1
jDKM_4AAAAAJ	1qqf7D0AAAAJ	1
yvvjnhIAAAAJ	tCq7Wx0AAAAJ	2
6k7bp8IAAAAJ	5c38WVcAAAAJ	1
UYZGdYwAAAAJ	2X6fAZgAAAAJ	1
Qf4bw4UAAAAJ	07ds-DAAAAAJ	5
Cgx9W6UAAAAJ	07ds-DAAAAAJ	1
MO3BwFMAAAAJ	_5tjpG0AAAAJ	1
jTzDAsIAAAAJ	_4i-G3YAAAAJ	1
XgifkSsAAAAJ	-0LFOnYAAAAJ	2
l9UHHYgAAAAJ	0-tewh8AAAAJ	15
p0tQZiAAAAAJ	YhFEmpMAAAAJ	7
wY-Wy6IAAAAJ	G8GezxgAAAAJ	1
Qf4bw4UAAAAJ	JSFmVQEAAAAJ	1
p_QR9RUAAAAJ	nfeNsaoAAAAJ	27
2VMMsmsAAAAJ	8rw_o7UAAAAJ	2
bh-uRFMAAAAJ	yxUduqMAAAAJ	1
0zZnyMEAAAAJ	KgZxzjsAAAAJ	1
upREfesAAAAJ	P5eWdgsAAAAJ	21
VjETp_wAAAAJ	BIpt-3MAAAAJ	1
pWQGJWEAAAAJ	YhFEmpMAAAAJ	5
5V852JcAAAAJ	GUAoEcAAAAAJ	1
PfgeYGwAAAAJ	-DVbMb4AAAAJ	6
bOKmjf8AAAAJ	3DtMaPEAAAAJ	1
cA28Zs0AAAAJ	88L1-JYAAAAJ	1
JJ31S6UAAAAJ	toODfV4AAAAJ	14
Qp5971IAAAAJ	HRSDO6IAAAAJ	2
fzSHXS8AAAAJ	nKVDcQoAAAAJ	1
4VJre9IAAAAJ	DSiNzkIAAAAJ	1
NByrsK0AAAAJ	CYwffSUAAAAJ	9
aLOSzWwAAAAJ	DZ3S--MAAAAJ	2
WZ-h67UAAAAJ	M3he9Y8AAAAJ	1
upREfesAAAAJ	MC6suuAAAAAJ	6
0v5utcwAAAAJ	oizZKrsAAAAJ	6
cA28Zs0AAAAJ	2pW1g5IAAAAJ	1
Q5KT-hEAAAAJ	Dl0vAp8AAAAJ	6
yepPD_cAAAAJ	VDhnOHEAAAAJ	3
QRyCQq4AAAAJ	MrVb9FkAAAAJ	5
2OJOZTUAAAAJ	FtbGhBQAAAAJ	1
GlBl-VUAAAAJ	5HX--AYAAAAJ	1
8VfMkGsAAAAJ	F2jhvIoAAAAJ	5
Q29WmWwAAAAJ	0RPdShUAAAAJ	5
HgaNy9kAAAAJ	OQ4t3U4AAAAJ	1
LiLwnssAAAAJ	j9EXF1AAAAAJ	14
WKzKz9gAAAAJ	Viv2E9AAAAAJ	1
yepPD_cAAAAJ	H4TdGyYAAAAJ	2
DYZsiAIAAAAJ	PafZ2Z4AAAAJ	1
tyYtUNIAAAAJ	amDW89cAAAAJ	4
Z_jPrx8AAAAJ	BkygZFsAAAAJ	1
4bHLr_IAAAAJ	E1knViwAAAAJ	1
F2jhvIoAAAAJ	BzzEEc0AAAAJ	2
UnDfo6sAAAAJ	ZOh4TtIAAAAJ	16
T1P0XnIAAAAJ	iJakSYUAAAAJ	2
VP-d_2gAAAAJ	h9Tji70AAAAJ	6
KBRHCEEAAAAJ	4xHzvxkAAAAJ	1
YPq3ax4AAAAJ	H7vcwSAAAAAJ	1
tiFit0cAAAAJ	OQ4t3U4AAAAJ	14
Qf4bw4UAAAAJ	FtbGhBQAAAAJ	3
n-Oret4AAAAJ	UcpEexUAAAAJ	1
54w2_AcAAAAJ	_tCANFgAAAAJ	6
cPmMoXoAAAAJ	db9WLdcAAAAJ	1
0v5utcwAAAAJ	aN4IwM4AAAAJ	2
_QU1opsAAAAJ	8ZtyZjAAAAAJ	1
upREfesAAAAJ	3oPjTK4AAAAJ	8
MYqlcPgAAAAJ	Qf4bw4UAAAAJ	2
rynvwScAAAAJ	Q_4d9N0AAAAJ	2
Cgx9W6UAAAAJ	hmq4rGIAAAAJ	4
8GA4R2wAAAAJ	KgZxzjsAAAAJ	2
HhKyc4EAAAAJ	iJakSYUAAAAJ	1
pxp6lUEAAAAJ	L9dwKyUAAAAJ	5
XgifkSsAAAAJ	UruIct4AAAAJ	17
jTzDAsIAAAAJ	5c38WVcAAAAJ	1
qC7oNRUAAAAJ	E1jnOcUAAAAJ	5
0zZnyMEAAAAJ	8kA3eDwAAAAJ	1
ghPIMpgAAAAJ	DLVFrFAAAAAJ	3
UruIct4AAAAJ	-0LFOnYAAAAJ	12
HgaNy9kAAAAJ	iNANm-sAAAAJ	4
rynvwScAAAAJ	8kA3eDwAAAAJ	10
CUkAtC4AAAAJ	Zc6X700AAAAJ	2
pWQGJWEAAAAJ	UcbMN8QAAAAJ	6
KQm_HnIAAAAJ	M6urChQAAAAJ	3
M9RDPB0AAAAJ	uVBjUtAAAAAJ	1
Hzb4ZWEAAAAJ	5QYkLKoAAAAJ	4
c7reUlAAAAAJ	nfeNsaoAAAAJ	33
9xDADY4AAAAJ	1c5IZ0QAAAAJ	4
cza7nLcAAAAJ	nKVDcQoAAAAJ	1
ctlAGI0AAAAJ	uASl5F0AAAAJ	2
PMjIXFIAAAAJ	xjvr4yEAAAAJ	2
CUkAtC4AAAAJ	6nuM6rcAAAAJ	3
im5aMngAAAAJ	q_n7d6EAAAAJ	1
cA28Zs0AAAAJ	qrVndScAAAAJ	1
Be1OTOcAAAAJ	ln3BGqgAAAAJ	1
Q_4d9N0AAAAJ	XM97iScAAAAJ	4
tpoh43QAAAAJ	BAdQpFkAAAAJ	2
LWAFHkEAAAAJ	tLrQhzIAAAAJ	4
yiiVQ1MAAAAJ	BLDtWVEAAAAJ	5
tpoh43QAAAAJ	YOVZiJkAAAAJ	3
GlBl-VUAAAAJ	N_Z79YgAAAAJ	1
g9yhtN8AAAAJ	c8LH7zUAAAAJ	11
kI5JKs8AAAAJ	uBbYp8gAAAAJ	8
ZVMcyxYAAAAJ	CUkAtC4AAAAJ	2
T1P0XnIAAAAJ	GBGCjpQAAAAJ	9
bNkvbPMAAAAJ	xPoCswkAAAAJ	10
WxJIpkcAAAAJ	8VfMkGsAAAAJ	22
BDZ2z6YAAAAJ	HUxQ1TAAAAAJ	7
_D5W9yUAAAAJ	DLVFrFAAAAAJ	3
bWOQjSIAAAAJ	eEdKpQgAAAAJ	2
JepH3ckAAAAJ	oizZKrsAAAAJ	1
M3he9Y8AAAAJ	j9EXF1AAAAAJ	4
yepPD_cAAAAJ	MjoZWO8AAAAJ	2
NafmldkAAAAJ	0o1C8ykAAAAJ	2
oRlrVsAAAAAJ	5_2_THUAAAAJ	11
-DVbMb4AAAAJ	q_n7d6EAAAAJ	1
54w2_AcAAAAJ	UYZGdYwAAAAJ	5
ojH7GEgAAAAJ	G7D5O-0AAAAJ	1
NByrsK0AAAAJ	kR7DersAAAAJ	8
dHXCX-sAAAAJ	YOVZiJkAAAAJ	30
yvvjnhIAAAAJ	8GA4R2wAAAAJ	114
tCq7Wx0AAAAJ	enpgnuQAAAAJ	12
s4yZTp4AAAAJ	Rt1a5-6vh4UC	1
WL8igVEAAAAJ	Kv9AbjMAAAAJ	8
WRlzk3UAAAAJ	V0XEUMAAAAAJ	1
30pCSfEAAAAJ	ZRrTqs8AAAAJ	7
rr944LsAAAAJ	p0tQZiAAAAAJ	4
UnDfo6sAAAAJ	XLU7AuYAAAAJ	1
No-GJRQAAAAJ	1o_wrqsAAAAJ	1
8iQk0DIAAAAJ	q92q8SMAAAAJ	19
xEFh0AgAAAAJ	JsK4KpMAAAAJ	2
8iQk0DIAAAAJ	UruIct4AAAAJ	1
_U9bzEAAAAAJ	bHm5I5sAAAAJ	7
s4oOVCsAAAAJ	fAw_t5EAAAAJ	1
g_JVzmIAAAAJ	VIwGymEAAAAJ	28
YCZYhF8AAAAJ	g_c8sA0AAAAJ	3
cGCalUQAAAAJ	36SCzI0AAAAJ	15
l9UHHYgAAAAJ	HUxQ1TAAAAAJ	2
bsotxTgAAAAJ	N_Z79YgAAAAJ	1
PLKoRXsAAAAJ	M6QwrLAAAAAJ	4
PfgeYGwAAAAJ	HRSDO6IAAAAJ	1
PfgeYGwAAAAJ	tpoh43QAAAAJ	3
Qf4bw4UAAAAJ	bh-uRFMAAAAJ	1
MYFF5l4AAAAJ	rQ8F7rIAAAAJ	9
yQXfAWMAAAAJ	NByrsK0AAAAJ	1
g_JVzmIAAAAJ	M9RDPB0AAAAJ	1
Qf4bw4UAAAAJ	Cgx9W6UAAAAJ	2
3L2Ih0wAAAAJ	JsK4KpMAAAAJ	2
6k7bp8IAAAAJ	pT7rjkQAAAAJ	2
x0ViSaoAAAAJ	HUxQ1TAAAAAJ	4
chP1Vc0AAAAJ	nKVDcQoAAAAJ	9
q4FqPgYAAAAJ	4PzSxEMAAAAJ	9
HRSDO6IAAAAJ	Q5KT-hEAAAAJ	1
WwadVmIAAAAJ	SRUYLREAAAAJ	1
p_QR9RUAAAAJ	XqI4gAYAAAAJ	14
dHXCX-sAAAAJ	BAdQpFkAAAAJ	8
tCq7Wx0AAAAJ	qPlUgrgAAAAJ	2
pkjoANMAAAAJ	Cgx9W6UAAAAJ	2
cA28Zs0AAAAJ	uBbYp8gAAAAJ	2
CYwffSUAAAAJ	W362rUwAAAAJ	3
wY-Wy6IAAAAJ	E0nK44AAAAAJ	3
rynvwScAAAAJ	qi7fvXoAAAAJ	6
qC7oNRUAAAAJ	qk0hejcAAAAJ	8
n-Oret4AAAAJ	_4i-G3YAAAAJ	1
YOZbkCEAAAAJ	cA28Zs0AAAAJ	7
hc1m_BQAAAAJ	pHox8i0AAAAJ	14
mIZu9oQAAAAJ	4VJre9IAAAAJ	1
0nOfuMgAAAAJ	4bHLr_IAAAAJ	1
WHZiLTIAAAAJ	BAdQpFkAAAAJ	1
nfeNsaoAAAAJ	4PzSxEMAAAAJ	28
gyL3CZ0AAAAJ	nKVDcQoAAAAJ	1
kI5JKs8AAAAJ	88L1-JYAAAAJ	13
Nq_T4UwAAAAJ	YJVAXCwAAAAJ	1
bWOQjSIAAAAJ	I2PP9XoAAAAJ	5
NHZdlVkAAAAJ	ptI-HHkAAAAJ	1
BAdQpFkAAAAJ	2YZITOgAAAAJ	6
v5q00U8AAAAJ	ggKzpqIAAAAJ	4
rQ8F7rIAAAAJ	z17wdcsAAAAJ	12
ftAplLUAAAAJ	cmedVkoAAAAJ	1
mtB5szIAAAAJ	Qf4bw4UAAAAJ	1
oRlrVsAAAAAJ	iSq5G8cAAAAJ	2
l9UHHYgAAAAJ	oz_MXbIAAAAJ	11
UK-VpDoAAAAJ	qq-SXN8AAAAJ	1
upREfesAAAAJ	BECu7wYAAAAJ	3
CUkAtC4AAAAJ	QY-earAAAAAJ	5
c8LH7zUAAAAJ	XeYCNAwAAAAJ	2
UnDfo6sAAAAJ	9ADkQMAAAAAJ	1
GhpkHDAAAAAJ	tdfS7TwAAAAJ	1
oSFVC3MAAAAJ	ZmiirIwAAAAJ	2
BzzEEc0AAAAJ	Ay_j7dUAAAAJ	1
fAw_t5EAAAAJ	G7D5O-0AAAAJ	4
Qf4bw4UAAAAJ	qrVndScAAAAJ	1
54w2_AcAAAAJ	gUEkPQEAAAAJ	1
MO3BwFMAAAAJ	UcbMN8QAAAAJ	1
PMjIXFIAAAAJ	pT7rjkQAAAAJ	2
xPoCswkAAAAJ	JsK4KpMAAAAJ	5
fAxws1sAAAAJ	JsK4KpMAAAAJ	2
cb5JccEAAAAJ	iBgmo3sAAAAJ	2
p_QR9RUAAAAJ	LWAFHkEAAAAJ	70
Z03FLwkAAAAJ	c8LH7zUAAAAJ	2
_X-PrRkAAAAJ	0HhpXIwAAAAJ	2
3HjjRz8AAAAJ	ggKzpqIAAAAJ	3
c7reUlAAAAAJ	q4FqPgYAAAAJ	10
g9yhtN8AAAAJ	DSiNzkIAAAAJ	21
tLrQhzIAAAAJ	4PzSxEMAAAAJ	5
8GA4R2wAAAAJ	G7D5O-0AAAAJ	26
rr944LsAAAAJ	YhFEmpMAAAAJ	10
8_Yj_RwAAAAJ	vm1u2DEAAAAJ	1
mlw_NjoAAAAJ	qk0hejcAAAAJ	8
-6maX04AAAAJ	M9RDPB0AAAAJ	9
DqCFHY8AAAAJ	8Qu_gAMAAAAJ	1
55pOyCkAAAAJ	VjETp_wAAAAJ	2
SRUYLREAAAAJ	bnmsbZkAAAAJ	1
mioppqwAAAAJ	iBgmo3sAAAAJ	1
YOVZiJkAAAAJ	im5aMngAAAAJ	1
0YxIvbEAAAAJ	YJVAXCwAAAAJ	1
jFK9W3UAAAAJ	Ui8pnoIAAAAJ	2
10iNskYAAAAJ	4PzSxEMAAAAJ	4
VjETp_wAAAAJ	iSq5G8cAAAAJ	2
NHZdlVkAAAAJ	8GA4R2wAAAAJ	8
0v5utcwAAAAJ	1c5IZ0QAAAAJ	1
Q29WmWwAAAAJ	yepPD_cAAAAJ	5
NByrsK0AAAAJ	Kv9AbjMAAAAJ	6
bWOQjSIAAAAJ	oSFVC3MAAAAJ	2
pWQGJWEAAAAJ	_TxappgAAAAJ	1
54w2_AcAAAAJ	HaNGX5gAAAAJ	1
-goooIUAAAAJ	WwadVmIAAAAJ	1
M6urChQAAAAJ	33CH6WUAAAAJ	4
t4rXchwAAAAJ	tpoh43QAAAAJ	6
XqI4gAYAAAAJ	4PzSxEMAAAAJ	14
p_QR9RUAAAAJ	c7reUlAAAAAJ	68
Kf97-EkAAAAJ	KgZxzjsAAAAJ	1
qrHidmsAAAAJ	AsMU1QsAAAAJ	101
oRlrVsAAAAAJ	NSCF6GUAAAAJ	3
GbLB9aAAAAAJ	eYVXgAoAAAAJ	2
DLVFrFAAAAAJ	ZflJqeUAAAAJ	21
oizZKrsAAAAJ	bh-uRFMAAAAJ	4
3ekS0ucAAAAJ	3qYUSDwAAAAJ	5
UnDfo6sAAAAJ	Z_jPrx8AAAAJ	1
KBRHCEEAAAAJ	DWKoeW0AAAAJ	5
kSuuj6UAAAAJ	upREfesAAAAJ	8
j1uE6L0AAAAJ	WZ0030cAAAAJ	1
JQsX7rAAAAAJ	GUAoEcAAAAAJ	2
ggKzpqIAAAAJ	yC-70wMAAAAJ	2
oSFVC3MAAAAJ	yC-70wMAAAAJ	1
rQ8F7rIAAAAJ	jR3NLMsAAAAJ	14
2Qlrv_cAAAAJ	qPlUgrgAAAAJ	1
JSFmVQEAAAAJ	HgaNy9kAAAAJ	1
iBbfPfUAAAAJ	wSPgTVwAAAAJ	4
2VMMsmsAAAAJ	y3zG4z8AAAAJ	2
PMjIXFIAAAAJ	6k7bp8IAAAAJ	18
GlBl-VUAAAAJ	4bHLr_IAAAAJ	31
No-GJRQAAAAJ	WwadVmIAAAAJ	6
5ZpsRswAAAAJ	olCWoa8AAAAJ	1
WwadVmIAAAAJ	BzzEEc0AAAAJ	5
No-GJRQAAAAJ	Ay_j7dUAAAAJ	2
2OJOZTUAAAAJ	HRSDO6IAAAAJ	5
zZO9qG4AAAAJ	2E448xEAAAAJ	9
gdD2E9QAAAAJ	XM97iScAAAAJ	7
d9f_YvcAAAAJ	G7D5O-0AAAAJ	4
g9yhtN8AAAAJ	53HX4X8AAAAJ	1
LWAFHkEAAAAJ	nfeNsaoAAAAJ	39
gWBoNCsAAAAJ	rE1Y8DoAAAAJ	1
pWQGJWEAAAAJ	M6QwrLAAAAAJ	4
WL8igVEAAAAJ	NByrsK0AAAAJ	31
qC7oNRUAAAAJ	33CH6WUAAAAJ	4
upREfesAAAAJ	Z_jPrx8AAAAJ	1
2X6fAZgAAAAJ	MMuP6cMAAAAJ	2
l9QQeHgAAAAJ	0jtFgaAAAAAJ	7
LiLwnssAAAAJ	WZ-h67UAAAAJ	2
owqUYWMAAAAJ	_QU1opsAAAAJ	4
ojH7GEgAAAAJ	qPlUgrgAAAAJ	25
jtOKGpIAAAAJ	5P3knO0AAAAJ	1
L-pC28sAAAAJ	XfYRqF4AAAAJ	2
cA28Zs0AAAAJ	yxUduqMAAAAJ	1
KQm_HnIAAAAJ	rnBRPpQAAAAJ	2
10iNskYAAAAJ	nfeNsaoAAAAJ	73
8Kk2MugAAAAJ	OcAOpSUAAAAJ	3
3oPjTK4AAAAJ	MC6suuAAAAAJ	3
qoFYHTMAAAAJ	JSFmVQEAAAAJ	1
_VsL6mAAAAAJ	lELCubQAAAAJ	1
H4TdGyYAAAAJ	z8NwFvcAAAAJ	4
VdzVqCwAAAAJ	mvdw03oAAAAJ	2
NByrsK0AAAAJ	G7D5O-0AAAAJ	1
nM77MX0AAAAJ	MCClSvsAAAAJ	24
vuKTnnsAAAAJ	0pp-L_IAAAAJ	1
fzSHXS8AAAAJ	nM77MX0AAAAJ	25
NFmCFlsAAAAJ	9PVNjbgAAAAJ	2
YtFi-KkAAAAJ	CWj6pVcAAAAJ	1
cPmMoXoAAAAJ	DSiNzkIAAAAJ	1
VdzVqCwAAAAJ	3kp_a7EAAAAJ	1
PLKoRXsAAAAJ	UcbMN8QAAAAJ	5
Z03FLwkAAAAJ	V1Qym88AAAAJ	1
p_QR9RUAAAAJ	jR3NLMsAAAAJ	11
zZO9qG4AAAAJ	yxUduqMAAAAJ	2
cWPJoXkAAAAJ	iBgmo3sAAAAJ	4
xjvr4yEAAAAJ	lELCubQAAAAJ	4
6_oL_9IAAAAJ	nM77MX0AAAAJ	3
ptI-HHkAAAAJ	q92q8SMAAAAJ	6
8Kk2MugAAAAJ	n7HDm44AAAAJ	6
f2x233wAAAAJ	HgaNy9kAAAAJ	2
9s9o-JcAAAAJ	Da-s1FQAAAAJ	1
0pp-L_IAAAAJ	CcSZwTsAAAAJ	1
6GB1kv8AAAAJ	p_QR9RUAAAAJ	3
-cuxoSQAAAAJ	--VLCRoAAAAJ	7
yvvjnhIAAAAJ	rnBRPpQAAAAJ	1
4VJre9IAAAAJ	KgZxzjsAAAAJ	1
g9yhtN8AAAAJ	XeYCNAwAAAAJ	27
GlBl-VUAAAAJ	1guy5W4AAAAJ	1
jsxk8vsAAAAJ	xPoCswkAAAAJ	2
1qqf7D0AAAAJ	hs5358sAAAAJ	1
O-QzGusAAAAJ	UcpEexUAAAAJ	1
XqI4gAYAAAAJ	nfeNsaoAAAAJ	15
XLU7AuYAAAAJ	9ADkQMAAAAAJ	1
vuKTnnsAAAAJ	NByrsK0AAAAJ	11
4tcxRqMAAAAJ	nngRAEYAAAAJ	1
gyL3CZ0AAAAJ	hgZgvkUAAAAJ	2
j7uL6VEAAAAJ	oizZKrsAAAAJ	2
runT3RsAAAAJ	oVygx30AAAAJ	21
HlxqS1MAAAAJ	QgGaAdsAAAAJ	1
toODfV4AAAAJ	DPZuUtIAAAAJ	6
Icl5BnYAAAAJ	nngRAEYAAAAJ	1
