EySbr8sAAAAJ	Marcel Waldvogel	Computer Networking, Internet, Security, Privacy	N/A	N
MMuP6cMAAAAJ	Tilman Wolf	computer networks, embedded systems, security	N/A	N
mhTBmDkAAAAJ	Dr. Haoyu Song	Network	N/A	N
SqMUez0AAAAJ	Nick McKeown	N/A	N/A	N
Qf4bw4UAAAAJ	Hari Balakrishnan	Networked computer systems, wireless networks, network architecture, mobile computing	N/A	N
07ds-DAAAAAJ	Jennifer Rexford	Networking, Computer Networks, Internet Routing, Network Management	N/A	N
n6wC7nwAAAAJ	Patrick Crowley	networking, systems, security, high-speed networking, network processors	CS	Y
MYqlcPgAAAAJ	Thomas Anderson	Distributed Systems, Networking, Operating Systems	N/A	N
hmq4rGIAAAAJ	Larry Peterson	Distributed Systems, Networks, Operating Systems	N/A	N
GUAoEcAAAAAJ	Scott Shenker	N/A	N/A	N
-NdFqI_E8z4C	Lei Sun 孙雷 孫雷	Biomedical Engineering	N/A	N
VIr4TMBUwG0C	Stephen V. Cole	parallel programming, GPU, SIMD, C	CS	Y
0gkajvEAAAAJ	Jacob Gardner	Machine Learning, Artificial Intelligence	N/A	N
yQXfAWMAAAAJ	Jeremy Buhler	computer science, parallel computing, computational biology, bioinformatics	CS	Y
0oqBHGIAAAAJ	Patricia B. Weisensee	Phase Change Heat Transfer, Experimental Fluid Dynamics, Wetting, Droplet Impact, Dropwise Condensation	MEMS	Y
85EVVHQAAAAJ	Jessica Wagenseil	vascular mechanics	MEMS	Y
0HhpXIwAAAAJ	Srikanth Singamaneni	N/A	MEMS	Y
LwNkL3cAAAAJ	Amit Pathak	cell mechanics, mechanobiology, biomechanics	MEMS	Y
SyQ-T8cAAAAJ	William Ronan	Solid mechanics, Micromechanics, Biomechanics, Finite element analysis	N/A	N
Lym3wGUAAAAJ	Patrick McGarry	Biomechanics, Solid mechanics, Computational modelling	N/A	N
INUmPLsAAAAJ	Gregory Longmore	cell adhesion and cell migration, cancer metastasis	N/A	N
M9RDPB0AAAAJ	Wesley R Legant	Cell Mechanics, Imaging	N/A	N
WLcdlLwAAAAJ	Samila Nasrollahi	Tissue engineering, Biomaterials, Mechanotransduction, Cell migration	N/A	N
-6maX04AAAAJ	Christopher S. Chen, M.D., Ph.D.	Systems Mechanobiology, Adhesion Biology, Tissue Engineering	N/A	N
KbaDWTMAAAAJ	Sanjay Kumar	Molecular and Cellular Bioengineering, Biomaterials, Cancer Biology, Stem Cells	N/A	N
VIwGymEAAAAJ	Vikram S. Deshpande	Solid Mechanics, Materials, Biomechanics, Mechanics of Materials	N/A	N
g_JVzmIAAAAJ	Robert M. McMeeking	solid mechanics, mechanics of materials, fracture, biomaterials, composites	N/A	N
1wwD728AAAAJ	Ruth J. Okamoto	biomechanics	MEMS	Y
DYZsiAIAAAAJ	Rohan Mishra	Materials Design, Electronic Structure, Electron Microscopy	MEMS	Y
jry1jnEAAAAJ	Steven T. Hartman	Materials science, DFT, atomistic modeling	N/A	N
SBVuIBwAAAAJ	Anupriya Agrawal	Multiscale modelling, Computational Materials Science, Polymers, Bulk Metallic Glasses	N/A	N
b2eSw60AAAAJ	Guangfu Luo	Computational Materials Science, Growth Dynamics, Defect Thermodynamics, Spectroscopy, Many-body Effects	N/A	N
-809YacAAAAJ	Jordan Adam Hachtel	Electron Microscopy, Monochromated EELS, Optical Properties	N/A	N
tyYtUNIAAAAJ	Pratim Biswas	Chemical Engineering, Environmental Engineering, Aerosol Science and Technology, Energy, Nanotechnology	ECE	Y
1qqf7D0AAAAJ	Katharine Flores	Materials Science and Engineering	MEMS	Y
9ADkQMAAAAAJ	Clarissa A Yablinsky	Mechanical Behavior, Nuclear Materials	N/A	N
hs5358sAAAAJ	Wendelin J. Wright	Materials Science and Engineering	N/A	N
XLU7AuYAAAAJ	Takeshi Egami	Condensed matter physics, materials science	N/A	N
UuSk_zkAAAAJ	Emmanuelle A Marquis	microstructures, phase transformations, oxidation, radiation, corrosion	N/A	N
ektlMjQAAAAJ	Allen Hunter	electron microscopy, atom probe tomography, metallurgy	N/A	N
qrHidmsAAAAJ	Oleg N. Senkov	Materials Science and Metallurgical Engineering	N/A	N
jDKM_4AAAAAJ	K. F. Kelton	Nucleation, metallic glasses, liquid structrues	N/A	N
Z_jPrx8AAAAJ	William L. Johnson	Materials Science	N/A	N
PafZ2Z4AAAAJ	Logan Ward	N/A	N/A	N
f3dhjoYAAAAJ	Douglas Hofmann	bulk metallic glass	N/A	N
AsMU1QsAAAAJ	Daniel Miracle	metallurgy, metallic glass, materials science	N/A	N
27EtyNkAAAAJ	Stephen C. Glade	N/A	N/A	N
DFI13oQAAAAJ	Biraja Kanungo	Materials Science & Engineering	N/A	N
vME86a4AAAAJ	Wolfgang Windl	Computational materials science	N/A	N
IHUOFK4AAAAJ	Yangchuan Xing	Electrochemical engineering, electrocatalysis, particle technology, sustainable manufacturing	N/A	N
jtOKGpIAAAAJ	Digbijoy Nath	Semiconductor devices, GaN and III-nitride alloys, Gallium Oxide	N/A	N
PfEES2EAAAAJ	Xing Huang	Computational Materials Science, Electron Microscopy	N/A	N
ZOh4TtIAAAAJ	Jaume Gazquez	STEM, EELS, COMPLEX OXIDES	N/A	N
SSb4uV4AAAAJ	Sung Beom Cho	Computational Materials Science	N/A	N
-cuxoSQAAAAJ	Sergei V. Kalinin	scanning probe microscopy, electron microscopy, machine learning, ferroelectrics, atomic fabrication	N/A	N
IY3CBewAAAAJ	Arashdeep Singh Thind	Density functional theory, Electron microscopy, Materials design	N/A	N
dMVI-XIAAAAJ	Oscar D. Restrepo	N/A	N/A	N
--VLCRoAAAAJ	Young-Min Kim	(Scanning) Transmission Electron Microscopy, Materials Science, Nanomaterials, Complex Oxides	N/A	N
5P3knO0AAAAJ	Juan-Carlos Idrobo	Physics, Electron Spectroscopy, Electron Microscopy	N/A	N
loPUpHQAAAAJ	Albina Borisevich	electron microscopy, complex oxides	N/A	N
UnDfo6sAAAAJ	Stephen Pennycook	Atomic resolution imaging and analysis	N/A	N
forPRN8AAAAJ	Sokrates T Pantelides	N/A	N/A	N
ln3BGqgAAAAJ	John Mark Meacham	N/A	MEMS	Y
AInPEpIAAAAJ	Mingyang Cui	MEMS, Microfluidics, Two-phase Flow	N/A	N
7Rh9iP0AAAAJ	Karthik Tappa	3D printing, Bioprinting, Anatomical Modeling, Drug Delivery, Nanotechnology	N/A	N
Z0uxspMAAAAJ	Jeffery Adam Weisman, MD, PhD, JD	Bioactive 3D Printing, Additive Manufacturing	N/A	N
Qth4UmoAAAAJ	Uday Jammalamadaka	3d printing, Biomaterials, Bioprinting, Drug delivery systems, Scaffold fabrication	N/A	N
ymDJ6oIAAAAJ	Javier Atencia	Transport Phenomena, Microfluidic Technology, Electromagnetic Drives	N/A	N
BkygZFsAAAAJ	Jack F Douglas	Material Science	N/A	N
Uk8VhXEAAAAJ	Mikhail Y. Berezin	optical imaging, chemistry, spectroscopy, peripheral nerves	N/A	N
Be1OTOcAAAAJ	Sanjeev kumar	Nuclear physics	N/A	N
e49cxvUAAAAJ	Thomas P Forbes	Transport Phenomena, Mass Spectrometry, Analytical Chemistry, MEMS, Microfluidics	N/A	N
09JS7eAAAAAJ	David Ross	Quantitative Biology, Probability Theory, Microfluidics, Emergence, Complex Adaptive Matter	N/A	N
CZFDkfEAAAAJ	Michael M. Binkley, PhD	Microfluidics, Acoustics, Antibody Drug Conjugates, Biostatistics	N/A	N
PIIoaKMAAAAJ	Facundo M. Fernández	Mass Spectrometry, Bionalytical Chemistry, Imaging, Metabolomics/Lipidomics.	N/A	N
_C33NmEAAAAJ	Srinivas Garimella	Microscale Heat Transfer, Waste Heat Recovery, Condensation, Absorption Heat Pumps, Adsorption	N/A	N
-WVPmUkAAAAJ	F. Levent Degertekin	Microsystems, MEMS, Transducers, Imaging, Waves	N/A	N
_X-PrRkAAAAJ	Andrei Fedorov	heat transfer, bioengineering, analytical chemistry, mass spectrometry, electron beam processing	N/A	N
WZ-h67UAAAAJ	Spencer P. Lake	Soft tissue biomechanics	MEMS	Y
cuRERDcAAAAJ	Kyle D Allen	Orthopaedic Research, Osteoarthritis, Degenerative Disc Disease, Temporomandibular Joint Disorders	N/A	N
dewEBisAAAAJ	Catalin R. Picu	fibrous materials, soft matter	N/A	N
5QYkLKoAAAAJ	Trevor J. Lujan	biomechanics, extracellular matrix, soft tissue, orthopaedics	N/A	N
M3he9Y8AAAAJ	Spencer Szczesny	Multiscale Biomechanics and Mechanobiology	N/A	N
VhIULXH7sLwC	ciaran simms	Injury biomechanics, tissue mechanics, device design, crash safety	N/A	N
Hzb4ZWEAAAAJ	Benjamin James Ellis	Bioengineering, Biomechanics, Computational Biomechanics, Orthopaedics	N/A	N
AYspUaEAAAAJ	Ramesh Raghupathy	Tissue mechanics, Finite element analysis, Digital image correlation, Computational modeling, Medical devices	N/A	N
y3zG4z8AAAAJ	Colleen Witzenburg	Cardiovascular Biomechanics Heterogeneity Growth and Remodeling	N/A	N
2VMMsmsAAAAJ	Edward Sander	Experimental and Computational Mechanobiology, In Vitro Systems for Studying Disease, Tissue Engineering, Wound Healing, Microsc	N/A	N
8rw_o7UAAAAJ	Mark Shephard	N/A	N/A	N
YtFi-KkAAAAJ	Jeffrey A. Weiss	biomechanics, ligaments and tendons, cartilage, angiogenesis, extracellular matrix	N/A	N
WV7XovQAAAAJ	Viktor Gruev	image sensors, polarization imaging, fluorescence, nanofabricaiton	N/A	N
LiLwnssAAAAJ	Daniel H. Cortes	cartilage, intervertebral disc, ultrasound, composites	N/A	N
w-2K0x8AAAAJ	Fei Fang	tendon, strain transfer	N/A	N
vHN9guYAAAAJ	Kristin S. Miller	Soft tissue growth and remodeling, biomechanics, tissue engineering, Women's Health, mechanobiology	N/A	N
JFqBXvcAAAAJ	Lai VK	Biomechanics, Tissue Engineering	N/A	N
j9EXF1AAAAAJ	Dawn M Elliott	biomechanical engineering, biomedical engineering, orthopaedics	N/A	N
L05BN0sAAAAJ	Victor Barocas	N/A	N/A	N
X6vPtQEAAAAJ	Louis Soslowsky	orthopaedic research, biomedical engineering, biomechanics, tendon, functional tissue engineering	N/A	N
oRlrVsAAAAAJ	Vijay Ramani	Electrochemical energy conversion and storage	ECE	Y
tHNXlAYAAAAJ	Derek Patton	Polymers, Polymer Synthesis, Polymer Surfaces, Thiol-ene Photopolymerization, Degradable	N/A	N
tWbKlfMAAAAJ	Carlo Segre	Physics, Materials Science, Debian GNU/Linux	N/A	N
C4m8TSUAAAAJ	Karim Zaghib	Energy storage, battery, electrochromic	N/A	N
gfpmAkQAAAAJ	R. A. Weiss	ionomers, polymers, viscoelasticity	N/A	N
QPzaSSsAAAAJ	Krishnan Rajeshwar	Materials Chemistry, Photoelectrochemistry, Energy	N/A	N
ZnvGMSIAAAAJ	Marc-Olivier Coppens	Nature Inspired Chemical Engineering, Diffusion, Porous Media, Catalysis and Reaction Engineering, Sustainability	N/A	N
I1RqBRoAAAAJ	Thomas F. Fuller	Fuel Cells, Batteries	N/A	N
5_2_THUAAAAJ	Jai Prakash	N/A	N/A	N
60L18i4AAAAJ	Zhongyang Wang	Anion exchange membrane, Fuel cell, Flow battery	N/A	N
6gWs-scAAAAJ	Peter Strasser	Electrochemistry, Nanomaterials, Electrocatalysis, Fuel Cells, Solar Fuels and Chemicals	N/A	N
NUD0HAkAAAAJ	Amod Kumar	Electrochemistry, material science, fuel cells, inorganic material synthesis and characterization	N/A	N
xxN4UiEAAAAJ	Venkateshkumar Prabhakaran	N/A	N/A	N
NSCF6GUAAAAJ	Guanxiong Wang	Renewable Energy, Fuel cells, Electrochemistry, Novel Catalysts, MEA Characterization	N/A	N
AQG8WlcAAAAJ	Christopher Arges	fuel cells, directed self-assembly, block copolymers, anion exchange membranes	N/A	N
g4DdvyEAAAAJ	Javier Parrondo	Chemical Engineering, electrochemistry, PEM fuel cells, solid oxide fuel cells	N/A	N
5Tw9egMAAAAJ	Peng Bai	Battery, Electrodeposition, Analytical electrochemistry, Mathematical modeling	ECE	Y
GN3C9q4AAAAJ	Jaephil Cho	battery, nanomaterials, catalysts	N/A	N
H8IzdhcAAAAJ	Sujong Chae	Lithium ion batteries, silicon, anode	N/A	N
4g7P1w4AAAAJ	Venkatasubramanian Viswanathan	Batteries, Fuel Cells, Electrocatalysis, Electric Vehicles	N/A	N
y1-vy_0AAAAJ	Edwin Khoo	chemical engineering, electrochemistry, batteries, machine learning, semiconductor manufacturing	N/A	N
jIOynFgAAAAJ	Cong Su	atomic engineering, 2D materials, electron microscope	N/A	N
ziDobv4AAAAJ	Kang Pyo So (소강표) 蘇康杓	nanocomposite, nanometals, mechanics, battery, nuclear	N/A	N
9iGjfDkAAAAJ	Guiyin Xu	Carbon materials, Supercapacitors, Lithium-ion batteries, Li-S/Se batteries, Water treatment	N/A	N
ftAplLUAAAAJ	Tolek Tyliszczak	x-ray microscopy	N/A	N
TP-Jxn4AAAAJ	Sang Chul Lee	N/A	N/A	N
zTedPdwAAAAJ	Young-Sang Yu	Magnetism, Energy Materials	N/A	N
F6tblNcAAAAJ	Norman J. Salmon	electron microscopy, material science, biology	N/A	N
Gu-FyNMAAAAJ	Daan Hein Alsem	Materials Science, Physics	N/A	N
ClBxwZkAAAAJ	Yiyang Li	N/A	N/A	N
cmedVkoAAAAJ	William Chueh	Energy materials, electrochemistry, X-ray spectroscopy, scattering and microscopy	N/A	N
ugpUWZEAAAAJ	Yi Zeng	Mathematical Modeling, Numerical Methods, Lithium Battery, Dynamical Systems, Mathematical Biology	N/A	N
a_1pZGsAAAAJ	Raymond B Smith	electrochemistry, phase transformation, energy storage materials, chemical engineering	N/A	N
bnmsbZkAAAAJ	Akihiro Kushima	in-situ TEM, strain engineering, Energy storage, Li-ion battery, Nano-mechanics	N/A	N
x3c1R2gAAAAJ	Fikile Brushett	Electrochemical Engineering, Energy Storage	N/A	N
SHVhdhoAAAAJ	Ju Li (ORCID:0000-0002-7841-8058)	Computational Materials Science, metallurgy, solid mechanics, nanocomposites, batteries	N/A	N
rcGnOdYAAAAJ	Martin Z. Bazant	electrochemistry, electrokinetics, fluid mechanics, applied mathematics, transport phenomena	N/A	N
vzxeLyIAAAAJ	Fuzhong Zhang	Synthetic Biology	ECE	Y
MO3BwFMAAAAJ	Jay Keasling	Metabolic Engineering, Synthetic Biology	N/A	N
amDW89cAAAAJ	Yinjie Tang	biotechnology	ECE	Y
emsMY_sAAAAJ	TAE SEOK MOON	Synthetic Biology, Metabolic Engineering, Protein Engineering	ECE	Y
kBiBksMAAAAJ	Marcus Foston	Polymer Chemistry, Biofuel Production, Biomaterials, Renewable Materials, Green Chemistry	ECE	Y
OcNPtuUAAAAJ	Kimberly M Parker	Environmental Organic Chemistry	ECE	Y
fHaJ7PMAAAAJ	Fangqiong Ling	environmental microbiology, microbial ecology, engineering	ECE	Y
Yj6j5xgAAAAJ	Rachel Whitaker	Microbial evolution, host-pathogen interactions, genomics	N/A	N
mWcHXJcAAAAJ	W.G.J. van der Meer	N/A	N/A	N
6RwHMzQAAAAJ	Guillermo L. Monroy	Optical Imaging, medicine, primary care, sensors, automation	N/A	N
-ETXWrIAAAAJ	Dao Janjaroen	Environmental Science, Water Treatment Technology, Biofilm Application, Waste Management	N/A	N
-iqhJgQAAAAJ	Thanh H.(Helen) Nguyen	pathogens, food safety, water reuse	N/A	N
-iEm2rUAAAAJ	Frederik Hammes	Drinking water microbiology, Flow Cytometry	N/A	N
olCWoa8AAAAJ	Nico Boon	microbiology, environmental biotechnology, microbial ecology, wastewater treatment, environmental microbiology	N/A	N
86AWJ58AAAAJ	Gang Liu	drinking water distribution system, environmental microbiology	N/A	N
W_6Skd4AAAAJ	Peiying Hong/ Pei-Ying Hong	Applied environmental microbiology, water quality, water reuse, antibiotic resistance, anaerobic processes	N/A	N
UcbMN8QAAAAJ	Gary Andersen	microbial ecology	N/A	N
5ZpsRswAAAAJ	Wen-Tso Liu	Environmental Microbiology, Microbial Ecology, Biotechnology, Environmental Engineering	N/A	N
yC-70wMAAAAJ	Young-Shin Jun	Environmental Nanochemistry, Environmental Interfaces, Nucleation, Water Reuse and Membrane, CO2 Sequestration	ECE	Y
bWOQjSIAAAAJ	Zhen (Jason) He 贺震	Environmental Engineering, Environmental Biotechnology, Resource Recovery, Bioelectrochemical System, Water-Energy Nexus	ECE	Y
_sz6oIoAAAAJ	Yiran Tong	Water and Waste Water Treatment, Groundwater Remediation	N/A	N
BIpt-3MAAAAJ	Carlos Dosoretz	Environmental Biotechnology	N/A	N
VVYP3bgAAAAJ	Jinjun Kan	Environmental Microbiology and Molecular Microbial Ecology	N/A	N
n-Ny3GEAAAAJ	Syeed Md Iskander	Resource recovery, Bioelectrochemical systems, Anaerobic Biotechnology, Advanced oxidation, Membrane fabrication and application	N/A	N
ZmiirIwAAAAJ	Yang Hou	Two-dimensional Hybrid Nanomaterials for Photoelectrochemical water splitting	N/A	N
55pOyCkAAAAJ	Kenneth H. Nealson	environmental microbiology, bioluminescence, geobiology	N/A	N
IZPamgMAAAAJ	John Novak	slduge processing, biological wastewater treatment	N/A	N
iSq5G8cAAAAJ	Shelley Minteer	biofuel cells, biosensors, bioelectrocatalysis, electroanalysis, electrochemistry	N/A	N
Qnzt2JkAAAAJ	Xiaojin (Jim) Li	Anammox, Wastewater Treatment, Environmental Biotechnology	N/A	N
eEdKpQgAAAAJ	Junhong Chen	Nanotechnology & Nanomaterials, Molecular Engineering, Sensors, Nanodevices, Energy & Environment	N/A	N
L8yAc8sAAAAJ	Mohan Qin	Environmental Engineering, Wastewater Treatment, Desalination	N/A	N
mQ4jIssAAAAJ	Shuai Luo, PhD, EIT, LEED GA	Environmental Engineering, Energy Recovery, Electrochemistry, Mathematical Modeling, Algae	N/A	N
rKhaP70AAAAJ	Qingyun Ping	N/A	N/A	N
d6vU434AAAAJ	Shiqiang Zou (邹仕强)	Resource Recovery, Forward Osmosis, Bioelectrochemical Systems, Applied Electrochemistry, Water-Energy Nexus	N/A	N
oSFVC3MAAAAJ	Zhenhai Wen(温珍海)	Electrocatalysis, Energy storage and conversion, Electrochemistry, Materials Science	N/A	N
VjETp_wAAAAJ	Largus T Angenent	Environmental Biotechnology, Environmental Engineering, Biological Engineering	N/A	N
T1j6LZAAAAAJ	Heyang (Harry) Yuan, 袁赫洋	biotechnology, microbiology, microbial ecology, bioelectrochemistry, environmental engineering	N/A	N
QLsTu80AAAAJ	Ibrahim Abu Reesh	Biochemical Engineering & Environmental Biotechnology- Petroleum Refining	N/A	N
VI9bcPYAAAAJ	Fei Zhang	environmental engineering	N/A	N
I2PP9XoAAAAJ	Zheng Ge	wastewater treatment, membrane process, bioelectrochemical system	N/A	N
ggKzpqIAAAAJ	Daniel Giammar	Environmental Engineering, Aquatic Chemistry, Water Treatment, Biogeochemistry, Carbon Sequestration	ECE	Y
Vkg99MwAAAAJ	Britt Huhmann	environmental chemistry, arsenic, iron oxides, hydrology, groundwater	N/A	N
Ylf2iXUAAAAJ	Tuhin Banerji	arsenic removal from water, water and wastewater treatment, groundwater remediation using iron based technologies, advanced oxid	N/A	N
M6QwrLAAAAAJ	Noémie Janot	Environmental Geochemistry, Biogeochemistry	N/A	N
I98W4K0AAAAJ	Sophia Hayes	NMR, nuclear magnetic resonance, solid-state chemistry, OPNMR, semiconductors	N/A	N
3HjjRz8AAAAJ	Samuel M Webb	X-ray Imaging, X-ray Spectroscopy, Geochemistry, Biogeochemistry	N/A	N
SSNUvb8AAAAJ	Soubir Basak	N/A	N/A	N
