Id1	Id2	Count
6_oL_9IAAAAJ	2X6fAZgAAAAJ	1
GlBl-VUAAAAJ	5HX--AYAAAAJ	1
8VfMkGsAAAAJ	F2jhvIoAAAAJ	5
Q29WmWwAAAAJ	0RPdShUAAAAJ	15
6_oL_9IAAAAJ	JSFmVQEAAAAJ	3
vuKTnnsAAAAJ	5_2_THUAAAAJ	1
LiLwnssAAAAJ	j9EXF1AAAAAJ	25
DYZsiAIAAAAJ	PafZ2Z4AAAAJ	2
Viv2E9AAAAAJ	FDu4ciwAAAAJ	1
F6tblNcAAAAJ	GN3C9q4AAAAJ	1
PfgeYGwAAAAJ	PEEpuNwAAAAJ	3
iJakSYUAAAAJ	97MiT_0AAAAJ	1
HhKyc4EAAAAJ	qPlUgrgAAAAJ	1
Z_jPrx8AAAAJ	BkygZFsAAAAJ	1
4bHLr_IAAAAJ	E1knViwAAAAJ	2
F2jhvIoAAAAJ	BzzEEc0AAAAJ	2
NafmldkAAAAJ	bh-uRFMAAAAJ	1
T1P0XnIAAAAJ	iJakSYUAAAAJ	3
VP-d_2gAAAAJ	h9Tji70AAAAJ	6
YPq3ax4AAAAJ	H7vcwSAAAAAJ	1
2nmHOtoAAAAJ	HgaNy9kAAAAJ	2
YBQai3gAAAAJ	ptI-HHkAAAAJ	3
0v5utcwAAAAJ	aN4IwM4AAAAJ	2
_QU1opsAAAAJ	8ZtyZjAAAAAJ	1
MYqlcPgAAAAJ	Qf4bw4UAAAAJ	2
Cgx9W6UAAAAJ	hmq4rGIAAAAJ	5
8GA4R2wAAAAJ	KgZxzjsAAAAJ	2
RJCmtBcAAAAJ	DZ3S--MAAAAJ	1
pxp6lUEAAAAJ	L9dwKyUAAAAJ	5
cPmMoXoAAAAJ	Qhe5ua0AAAAJ	4
jTzDAsIAAAAJ	5c38WVcAAAAJ	1
0zZnyMEAAAAJ	8kA3eDwAAAAJ	1
UruIct4AAAAJ	-0LFOnYAAAAJ	12
GbLB9aAAAAAJ	L-pC28sAAAAJ	1
rynvwScAAAAJ	8kA3eDwAAAAJ	10
HgaNy9kAAAAJ	iNANm-sAAAAJ	13
snf71h4AAAAJ	cPmMoXoAAAAJ	2
KQm_HnIAAAAJ	M6urChQAAAAJ	6
-cuxoSQAAAAJ	5P3knO0AAAAJ	2
6k7bp8IAAAAJ	pHox8i0AAAAJ	1
M9RDPB0AAAAJ	uVBjUtAAAAAJ	1
Hzb4ZWEAAAAJ	5QYkLKoAAAAJ	4
bWOQjSIAAAAJ	QLsTu80AAAAJ	19
vzxeLyIAAAAJ	emsMY_sAAAAJ	3
cza7nLcAAAAJ	nKVDcQoAAAAJ	14
bsotxTgAAAAJ	tiHMmkcAAAAJ	5
J12C3nYAAAAJ	4xHzvxkAAAAJ	2
ctlAGI0AAAAJ	uASl5F0AAAAJ	5
Be1OTOcAAAAJ	ln3BGqgAAAAJ	1
JQsX7rAAAAAJ	Qhe5ua0AAAAJ	1
yiiVQ1MAAAAJ	BLDtWVEAAAAJ	5
6GB1kv8AAAAJ	2Qlrv_cAAAAJ	6
ZVMcyxYAAAAJ	CUkAtC4AAAAJ	5
BDZ2z6YAAAAJ	HUxQ1TAAAAAJ	18
WxJIpkcAAAAJ	8VfMkGsAAAAJ	27
4VJre9IAAAAJ	J12C3nYAAAAJ	2
1o_wrqsAAAAJ	eYVXgAoAAAAJ	3
ClBxwZkAAAAJ	cmedVkoAAAAJ	11
JepH3ckAAAAJ	oizZKrsAAAAJ	2
rnR3JrYAAAAJ	jTzDAsIAAAAJ	1
8Qu_gAMAAAAJ	97MiT_0AAAAJ	1
yepPD_cAAAAJ	MjoZWO8AAAAJ	2
oRlrVsAAAAAJ	5_2_THUAAAAJ	16
JSFmVQEAAAAJ	iNANm-sAAAAJ	3
tiHMmkcAAAAJ	HGTDp1UAAAAJ	3
NByrsK0AAAAJ	kR7DersAAAAJ	8
yvvjnhIAAAAJ	8GA4R2wAAAAJ	174
dHXCX-sAAAAJ	YOVZiJkAAAAJ	31
ftAplLUAAAAJ	zTedPdwAAAAJ	8
tCq7Wx0AAAAJ	enpgnuQAAAAJ	12
WL8igVEAAAAJ	Kv9AbjMAAAAJ	8
UnDfo6sAAAAJ	XLU7AuYAAAAJ	1
No-GJRQAAAAJ	1o_wrqsAAAAJ	5
XfYRqF4AAAAJ	0gkajvEAAAAJ	4
forPRN8AAAAJ	eYVXgAoAAAAJ	1
8iQk0DIAAAAJ	UruIct4AAAAJ	1
tpoh43QAAAAJ	tHNANpEAAAAJ	1
